Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
6.45654229034654e+00	(9.38385065495684e+01dB,-2.80337243740971e+01°)
6.60693448007594e+00	(9.37934768478293e+01dB,-2.85869264173264e+01°)
6.76082975391980e+00	(9.37468200695331e+01dB,-2.91470347588285e+01°)
6.91830970918935e+00	(9.36984957581250e+01dB,-2.97139230697094e+01°)
7.07945784384136e+00	(9.36484637628709e+01dB,-3.02874529843790e+01°)
7.24435960074988e+00	(9.35966843408984e+01dB,-3.08674739802289e+01°)
7.41310241300916e+00	(9.35431182625678e+01dB,-3.14538232992704e+01°)
7.58577575029182e+00	(9.34877269197682e+01dB,-3.20463259146338e+01°)
7.76247116628690e+00	(9.34304724366365e+01dB,-3.26447945445878e+01°)
7.94328234724279e+00	(9.33713177821767e+01dB,-3.32490297163085e+01°)
8.12830516164097e+00	(9.33102268841777e+01dB,-3.38588198816799e+01°)
8.31763771102669e+00	(9.32471647438456e+01dB,-3.44739415868598e+01°)
8.51138038202374e+00	(9.31820975504254e+01dB,-3.50941596969891e+01°)
8.70963589956078e+00	(9.31149927951602e+01dB,-3.57192276771526e+01°)
8.91250938133743e+00	(9.30458193838183e+01dB,-3.63488879300983e+01°)
9.12010839355907e+00	(9.29745477470690e+01dB,-3.69828721909468e+01°)
9.33254300796988e+00	(9.29011499478993e+01dB,-3.76209019784451e+01°)
9.54992586021433e+00	(9.28255997853319e+01dB,-3.82626891018689e+01°)
9.77237220955808e+00	(9.27478728936399e+01dB,-3.89079362222245e+01°)
9.99999999999997e+00	(9.26679468363199e+01dB,-3.95563374658362e+01°)
1.02329299228075e+01	(9.25858011940627e+01dB,-4.02075790876402e+01°)
1.04712854805090e+01	(9.25014176460313e+01dB,-4.08613401815100e+01°)
1.07151930523760e+01	(9.24147800437534e+01dB,-4.15172934338267e+01°)
1.09647819614318e+01	(9.23258744770272e+01dB,-4.21751059165175e+01°)
1.12201845430196e+01	(9.22346893312611e+01dB,-4.28344399149718e+01°)
1.14815362149688e+01	(9.21412153357639e+01dB,-4.34949537861650e+01°)
1.17489755493953e+01	(9.20454456025549e+01dB,-4.41563028417766e+01°)
1.20226443461741e+01	(9.19473756553486e+01dB,-4.48181402508089e+01°)
1.23026877081238e+01	(9.18470034484635e+01dB,-4.54801179560227e+01°)
1.25892541179416e+01	(9.17443293754014e+01dB,-4.61418875979121e+01°)
1.28824955169313e+01	(9.16393562674769e+01dB,-4.68031014431363e+01°)
1.31825673855640e+01	(9.15320893813852e+01dB,-4.74634133040439e+01°)
